politicianId,name_str,latest_pos
11002720,Steffi Lemke (Grüne),Grüne
11002735,Friedrich Merz (CDU/CSU),CDU/CSU
11002742,Gerd Müller (CDU/CSU),CDU/CSU
11002746,Cem Özdemir (Grüne),Grüne
11002765,Norbert Röttgen (CDU/CSU),CDU/CSU
11002769,Rudolf Scharping (SPD),SPD
11002823,Ute Vogt (SPD),SPD
11002944,Guido Westerwelle (FDP),FDP
11003028,Ilse Aigner (CDU/CSU),CDU/CSU
11003034,Dietmar Bartsch (DIE LINKE.),DIE LINKE.
11003050,Lothar Binding (SPD),SPD
11003051,Kurt Bodewig (SPD),SPD
11003059,Rainer Brüderle (FDP),FDP
11003065,Roland Claus (DIE LINKE.),DIE LINKE.
11003068,Ekin Deligöz (Grüne),Grüne
11003124,Hans Peter Friedrich (CDU/CSU),CDU/CSU
11003132,Katrin Dagmar Göring-Eckardt (Grüne),Grüne
11003142,Hubertus Heil (SPD),SPD
11003167,Christine Lambrecht (SPD),SPD
11003168,Christian Lange (SPD),SPD
11003196,Andrea Nahles (SPD),SPD
11003198,Dirk Niebel (FDP),FDP
