"Politician Id","First Name","Last Name","Electoral Term","State"
11003246,"Jürgen","Trittin","19","Niedersachsen"
11003247,"Hans Peter","Uhl","14","Bayern"
11003247,"Hans Peter","Uhl","15","Bayern"
11003247,"Hans Peter","Uhl","16","Bayern"
11003247,"Hans Peter","Uhl","17","Bayern"
11003247,"Hans Peter","Uhl","18","Bayern"
11003248,"Arnold","Vaatz","14","Sachsen"
11003248,"Arnold","Vaatz","15","Sachsen"
11003248,"Arnold","Vaatz","16","Sachsen"
11003248,"Arnold","Vaatz","17","Sachsen"
11003248,"Arnold","Vaatz","18","Sachsen"
11003248,"Arnold","Vaatz","19","Sachsen"
11003249,"Rüdiger","Veit","14","Hessen"
11003249,"Rüdiger","Veit","15","Hessen"
11003249,"Rüdiger","Veit","16","Hessen"
11003249,"Rüdiger","Veit","17","Hessen"
11003249,"Rüdiger","Veit","18","Hessen"
11003250,"Simone","Violka","14","Sachsen"
11003250,"Simone","Violka","15","Sachsen"
11003250,"Simone","Violka","16","Sachsen"
11003251,"Angelika","Volquartz","14","Schleswig-Holstein"
11003251,"Angelika","Volquartz","15","Schleswig-Holstein"
11003252,"Sylvia","Voß","14","Brandenburg"
11003253,"Andrea Astrid","Voßhoff","14","Brandenburg"
11003253,"Andrea Astrid","Voßhoff","15","Brandenburg"
11003253,"Andrea Astrid","Voßhoff","16","Brandenburg"
11003253,"Andrea Astrid","Voßhoff","17","Brandenburg"
11003254,"Hedi","Wegener","14","Niedersachsen"
11003254,"Hedi","Wegener","15","Niedersachsen"
11003254,"Hedi","Wegener","16","Niedersachsen"
11003255,"Peter","Weiß","14","Baden-Württemberg"
11003255,"Peter","Weiß","15","Baden-Württemberg"
11003255,"Peter","Weiß","16","Baden-Württemberg"
11003255,"Peter","Weiß","17","Baden-Württemberg"
11003255,"Peter","Weiß","18","Baden-Württemberg"
11003255,"Peter","Weiß","19","Baden-Württemberg"
11003256,"Gerald","Weiß","14","Hessen"
11003256,"Gerald","Weiß","15","Hessen"
11003256,"Gerald","Weiß","16","Hessen"
11003257,"Ernst Ulrich","Weizsäcker","14","Baden-Württemberg"
11003257,"Ernst Ulrich","Weizsäcker","15","Baden-Württemberg"
11003258,"Rainer","Wend","14","Nordrhein-Westfalen"
11003258,"Rainer","Wend","15","Nordrhein-Westfalen"
11003258,"Rainer","Wend","16","Nordrhein-Westfalen"
11003259,"Annette","Widmann-Mauz","14","Baden-Württemberg"
11003259,"Annette","Widmann-Mauz","15","Baden-Württemberg"
11003259,"Annette","Widmann-Mauz","16","Baden-Württemberg"
11003259,"Annette","Widmann-Mauz","17","Baden-Württemberg"
11003259,"Annette","Widmann-Mauz","18","Baden-Württemberg"
11003259,"Annette","Widmann-Mauz","19","Baden-Württemberg"
11003260,"Jürgen","Wieczorek","14","Sachsen"
11003260,"Jürgen","Wieczorek","15","Sachsen"
11003263,"Klaus","Wiesehügel","14","Hessen"
